Hora,Demanda_Original_kW,Demanda_Otimizada_kW,Diferenca_kW,Reducao_Percentual
0,53.0,28.0,25.0,47.16981132075472
1,50.0,40.0,10.0,20.0
2,2.0,37.5,-35.5,-1775.0
3,0.0,35.0,-35.0,-3500000.0
4,0.0,28.0,-28.0,-2800000.0
5,0.0,14.0,-14.0,-1400000.0
6,0.0,7.0,-7.0,-700000.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,7.0,0.0,7.0,100.0
21,21.0,0.0,21.0,100.0
22,38.5,8.5,30.0,77.92207792207793
23,47.5,21.0,26.5,55.78947368421052
